blockchain,nft_contract_address,project_contract_address,token_id,evt_type,trade_category,trade_type,tx_hash,block_time,block_number,amount_raw,amount_original,amount_usd,currency_contract,currency_symbol,project,number_of_items,tx_from,tx_to
ethereum,0x7037843d739d846cdce3a6839a80f7d70b60b99a,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,3279,Trade,buy,single item trade,0x34deeb6675ec28f6475daedd04b6a5f30c30b85ba6921c29db91e61a5e2e2c3e,2023-11-20 00:00:35.000 UTC,18609286,50000000000000000,0.05,100.66950000000001,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0xb534e93b9b68a0f39bc05b11d2c02a342d625b31,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0x74a9cf4dfb9758421bc849e5f88a2624d391d11b,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,40,Trade,buy,single item trade,0x761c416e4d0f10466b7d1dea844a2d0507ec9ad1d7a8d21db6c93004e3a8c0d8,2023-11-20 00:00:59.000 UTC,18609288,4800000000000000,0.0048,9.664272,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0xdcc8bce9563211b7c364e3ba6fe86243295a6a0c,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xab45af64acf3bcefca6f01607b4b40022fe99176,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,249,Trade,buy,single item trade,0xed9a48046bd4df58a5996624f111a71875f2ad1d624a733db6175648a58256ec,2023-11-20 00:01:35.000 UTC,18609291,4500000000000000,0.0045,9.060255,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0xa598c7980e4f54c962f77f9cfb04a23eee07992f,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xab45af64acf3bcefca6f01607b4b40022fe99176,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,195,Trade,buy,single item trade,0xed9a48046bd4df58a5996624f111a71875f2ad1d624a733db6175648a58256ec,2023-11-20 00:01:35.000 UTC,18609291,3000000000000000,0.003,6.040170000000001,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0xa598c7980e4f54c962f77f9cfb04a23eee07992f,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xae4c08bb80fd9f824e0753386657298b6edc4106,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1,Trade,buy,single item trade,0x54d41dc3c334a9f7047937021b3f8e9008f1599e8927692a922a45f4606fcf50,2023-11-20 00:01:35.000 UTC,18609291,9900000000000000,0.0099,19.932561000000003,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x6e8c0901d667b79528f69fea0307f9c1122eb47e,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xaaf03a65cbd8f01b512cd8d530a675b3963de255,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,42190,Trade,buy,single item trade,0xc2ec08fb137333b112aa627a8f88717b6c7a78b9c9ce11b1b19d2e4c703e9257,2023-11-20 00:01:47.000 UTC,18609292,33200000000000000,0.0332,66.844548,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x312de533692c6e1e11108cd77f2837461c7b9bdc,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd0f0d5e036d1f4c6524e0b58cb52f85b03a76e09,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,1145,Trade,Sell,secondary,0xce4a4e77abc6aedf7c42e7f6a9679aeebcd3a7b7415cb2c449e6c19c314fd3de,2023-11-20 00:01:47.000 UTC,18609292,70000000000000000,0.07,140.93730000000002,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xada683ed9fb4fe655f66869b78f63d4764bfa31d,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0x569f26145f0c2fcc3da68395be3639009c53b6d8,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,9705,Trade,Buy,secondary,0xd3427835576c5c3b8b33862d81ba698b431b6d8ebf6679da16da21a1f8841b52,2023-11-20 00:01:47.000 UTC,18609292,19556400000000000,0.0195564,39.37466019600001,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,blur,1,0xfe76209c3476ca6065ad2527daedbc4a9dae6a82,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xbeb1d3357cd525947b16a9f7a2b3d50b50b977bd,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,916,Trade,offer accepted,single item trade,0x5ff892c3806d5682ff9ab170e3ef5f47da4b71320315acd1fd07287e0ed1d46a,2023-11-20 00:01:47.000 UTC,18609292,310000000000000000,0.31,624.1509,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0x33299b6a6762084d82c19a40b181e47f45e4cba1,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,7509,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
